------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   7409   -6.2079224700    1.8899043403   -2.6814100377   -6.2079214714    1.8899039371   -2.6814093105
   7410   -6.2079225818    1.8899043448   -2.6814101757   -6.2079215835    1.8899039417   -2.6814094570
   7411   -6.2079226936    1.8899043493   -2.6814103169   -6.2079216955    1.8899039463   -2.6814096034
   7412   -6.2079228053    1.8899043538   -2.6814105017   -6.2079218075    1.8899039509   -2.6814097498
   7413   -6.2079229170    1.8899043583   -2.6814106191   -6.2079219195    1.8899039555   -2.6814098962
   7414   -6.2079230287    1.8899043627   -2.6814107298   -6.2079220314    1.8899039601   -2.6814100425
   7415   -6.2079231403    1.8899043673   -2.6814109044   -6.2079221434    1.8899039647   -2.6814101888
   7416   -6.2079232519    1.8899043717   -2.6814110319   -6.2079222552    1.8899039693   -2.6814103350
   7417   -6.2079233635    1.8899043762   -2.6814112032   -6.2079223671    1.8899039739   -2.6814104812
   7418   -6.2079234751    1.8899043807   -2.6814113376   -6.2079224789    1.8899039785   -2.6814106274
   7419   -6.2079235866    1.8899043852   -2.6814114856   -6.2079225907    1.8899039831   -2.6814107735
   7420   -6.2079236981    1.8899043897   -2.6814116776   -6.2079227025    1.8899039877   -2.6814109196
   7421   -6.2079238095    1.8899043942   -2.6814117722   -6.2079228142    1.8899039923   -2.6814110657
   7422   -6.2079239210    1.8899043986   -2.6814119209   -6.2079229259    1.8899039969   -2.6814112117
   7423   -6.2079240324    1.8899044031   -2.6814120329   -6.2079230376    1.8899040014   -2.6814113576
   7424   -6.2079241438    1.8899044076   -2.6814122597   -6.2079231492    1.8899040060   -2.6814115036
   7425   -6.2079242551    1.8899044121   -2.6814123792   -6.2079232608    1.8899040106   -2.6814116494
   7426   -6.2079243664    1.8899044166   -2.6814125125   -6.2079233724    1.8899040152   -2.6814117953
   7427   -6.2079244777    1.8899044210   -2.6814126396   -6.2079234840    1.8899040198   -2.6814119411
   7428   -6.2079245889    1.8899044255   -2.6814128009   -6.2079235955    1.8899040244   -2.6814120869
   7429   -6.2079247002    1.8899044300   -2.6814129559   -6.2079237070    1.8899040290   -2.6814122326
   7430   -6.2079248113    1.8899044344   -2.6814131049   -6.2079238184    1.8899040335   -2.6814123783
   7431   -6.2079249225    1.8899044389   -2.6814132173   -6.2079239299    1.8899040381   -2.6814125239
   7432   -6.2079250336    1.8899044434   -2.6814133844   -6.2079240413    1.8899040427   -2.6814126696
   7433   -6.2079251448    1.8899044479   -2.6814135353   -6.2079241526    1.8899040473   -2.6814128151
   7434   -6.2079252558    1.8899044523   -2.6814136600   -6.2079242640    1.8899040518   -2.6814129607
   7435   -6.2079253669    1.8899044568   -2.6814138192   -6.2079243753    1.8899040564   -2.6814131062
   7436   -6.2079254779    1.8899044613   -2.6814139320   -6.2079244866    1.8899040610   -2.6814132516
   7437   -6.2079255889    1.8899044657   -2.6814140996   -6.2079245978    1.8899040656   -2.6814133970
   7438   -6.2079256998    1.8899044702   -2.6814142715   -6.2079247090    1.8899040701   -2.6814135424
   7439   -6.2079258108    1.8899044747   -2.6814144173   -6.2079248202    1.8899040747   -2.6814136878
   7440   -6.2079259216    1.8899044791   -2.6814145472   -6.2079249314    1.8899040793   -2.6814138331
   7441   -6.2079260325    1.8899044836   -2.6814146512   -6.2079250425    1.8899040838   -2.6814139783
   7442   -6.2079261433    1.8899044880   -2.6814148304   -6.2079251536    1.8899040884   -2.6814141235
   7443   -6.2079262542    1.8899044925   -2.6814149838   -6.2079252647    1.8899040930   -2.6814142687
   7444   -6.2079263649    1.8899044969   -2.6814151417   -6.2079253757    1.8899040975   -2.6814144139
   7445   -6.2079264757    1.8899045014   -2.6814152737   -6.2079254867    1.8899041021   -2.6814145590
   7446   -6.2079265864    1.8899045058   -2.6814154306   -6.2079255977    1.8899041067   -2.6814147040
   7447   -6.2079266971    1.8899045103   -2.6814155414   -6.2079257087    1.8899041112   -2.6814148491
   7448   -6.2079268077    1.8899045148   -2.6814156975   -6.2079258196    1.8899041158   -2.6814149940
   7449   -6.2079269184    1.8899045192   -2.6814158582   -6.2079259305    1.8899041203   -2.6814151390
   7450   -6.2079270290    1.8899045236   -2.6814159933   -6.2079260414    1.8899041249   -2.6814152839
   7451   -6.2079271395    1.8899045281   -2.6814161230   -6.2079261522    1.8899041294   -2.6814154288
   7452   -6.2079272501    1.8899045325   -2.6814162677   -6.2079262630    1.8899041340   -2.6814155736
   7453   -6.2079273606    1.8899045370   -2.6814164376   -6.2079263738    1.8899041385   -2.6814157184
   7454   -6.2079274710    1.8899045414   -2.6814165921   -6.2079264845    1.8899041431   -2.6814158632
   7455   -6.2079275815    1.8899045459   -2.6814166703   -6.2079265952    1.8899041476   -2.6814160079
   7456   -6.2079276919    1.8899045503   -2.6814168246   -6.2079267059    1.8899041522   -2.6814161525
   7457   -6.2079278023    1.8899045547   -2.6814169737   -6.2079268166    1.8899041567   -2.6814162972
   7458   -6.2079279127    1.8899045592   -2.6814172091   -6.2079269272    1.8899041613   -2.6814164418
   7459   -6.2079280230    1.8899045636   -2.6814172568   -6.2079270378    1.8899041658   -2.6814165863
   7460   -6.2079281333    1.8899045680   -2.6814174415   -6.2079271483    1.8899041704   -2.6814167309
   7461   -6.2079282436    1.8899045725   -2.6814175908   -6.2079272589    1.8899041749   -2.6814168753
   7462   -6.2079283538    1.8899045769   -2.6814177454   -6.2079273694    1.8899041795   -2.6814170198
   7463   -6.2079284640    1.8899045814   -2.6814178951   -6.2079274799    1.8899041840   -2.6814171642
   7464   -6.2079285742    1.8899045858   -2.6814180196   -6.2079275903    1.8899041885   -2.6814173086
   7465   -6.2079286844    1.8899045902   -2.6814181697   -6.2079277007    1.8899041931   -2.6814174529
   7466   -6.2079287945    1.8899045947   -2.6814182947   -6.2079278111    1.8899041976   -2.6814175972
   7467   -6.2079289046    1.8899045991   -2.6814184862   -6.2079279215    1.8899042021   -2.6814177414
   7468   -6.2079290147    1.8899046035   -2.6814185814   -6.2079280318    1.8899042067   -2.6814178856
   7469   -6.2079291247    1.8899046079   -2.6814187533   -6.2079281421    1.8899042112   -2.6814180298
   7470   -6.2079292347    1.8899046124   -2.6814189003   -6.2079282524    1.8899042157   -2.6814181740
   7471   -6.2079293447    1.8899046168   -2.6814190223   -6.2079283626    1.8899042203   -2.6814183180
   7472   -6.2079294546    1.8899046212   -2.6814192313   -6.2079284728    1.8899042248   -2.6814184621
   7473   -6.2079295645    1.8899046256   -2.6814193137   -6.2079285830    1.8899042293   -2.6814186061
   7474   -6.2079296744    1.8899046301   -2.6814194731   -6.2079286932    1.8899042338   -2.6814187501
   7475   -6.2079297843    1.8899046345   -2.6814195262   -6.2079288033    1.8899042384   -2.6814188940
   7476   -6.2079298941    1.8899046389   -2.6814197683   -6.2079289134    1.8899042429   -2.6814190380
   7477   -6.2079300039    1.8899046433   -2.6814198941   -6.2079290234    1.8899042474   -2.6814191818
   7478   -6.2079301137    1.8899046477   -2.6814200358   -6.2079291335    1.8899042519   -2.6814193256
   7479   -6.2079302234    1.8899046521   -2.6814201428   -6.2079292435    1.8899042565   -2.6814194694
   7480   -6.2079303332    1.8899046565   -2.6814202863   -6.2079293535    1.8899042610   -2.6814196132
   7481   -6.2079304428    1.8899046610   -2.6814204662   -6.2079294634    1.8899042655   -2.6814197569
   7482   -6.2079305525    1.8899046654   -2.6814205809   -6.2079295733    1.8899042700   -2.6814199006
   7483   -6.2079306621    1.8899046698   -2.6814207525   -6.2079296832    1.8899042745   -2.6814200442
   7484   -6.2079307717    1.8899046742   -2.6814208590   -6.2079297931    1.8899042790   -2.6814201878
   7485   -6.2079308813    1.8899046786   -2.6814210225   -6.2079299029    1.8899042836   -2.6814203314
   7486   -6.2079309908    1.8899046830   -2.6814211820   -6.2079300127    1.8899042881   -2.6814204749
   7487   -6.2079311003    1.8899046874   -2.6814213069   -6.2079301225    1.8899042926   -2.6814206184
   7488   -6.2079312098    1.8899046918   -2.6814214279   -6.2079302322    1.8899042971   -2.6814207618
   7489   -6.2079313193    1.8899046962   -2.6814216061   -6.2079303419    1.8899043016   -2.6814209052
   7490   -6.2079314287    1.8899047006   -2.6814217498   -6.2079304516    1.8899043061   -2.6814210486
   7491   -6.2079315381    1.8899047050   -2.6814218796   -6.2079305612    1.8899043106   -2.6814211919
   7492   -6.2079316474    1.8899047094   -2.6814220565   -6.2079306709    1.8899043151   -2.6814213352
   7493   -6.2079317567    1.8899047138   -2.6814221889   -6.2079307805    1.8899043196   -2.6814214784
   7494   -6.2079318661    1.8899047182   -2.6814223176   -6.2079308900    1.8899043241   -2.6814216216
   7495   -6.2079319753    1.8899047226   -2.6814224221   -6.2079309996    1.8899043286   -2.6814217648
   7496   -6.2079320846    1.8899047270   -2.6814226047   -6.2079311091    1.8899043331   -2.6814219080
   7497   -6.2079321938    1.8899047314   -2.6814227326   -6.2079312185    1.8899043376   -2.6814220511
   7498   -6.2079323030    1.8899047358   -2.6814228875   -6.2079313280    1.8899043421   -2.6814221941
   7499   -6.2079324122    1.8899047402   -2.6814230287   -6.2079314374    1.8899043466   -2.6814223371
   7500   -6.2079325213    1.8899047446   -2.6814231461   -6.2079315468    1.8899043511   -2.6814224801
   7501   -6.2079326304    1.8899047490   -2.6814233212   -6.2079316562    1.8899043556   -2.6814226231
   7502   -6.2079327395    1.8899047533   -2.6814234316   -6.2079317655    1.8899043601   -2.6814227660
   7503   -6.2079328485    1.8899047577   -2.6814236305   -6.2079318748    1.8899043646   -2.6814229088
   7504   -6.2079329575    1.8899047621   -2.6814237342   -6.2079319841    1.8899043691   -2.6814230517
   7505   -6.2079330665    1.8899047665   -2.6814238755   -6.2079320933    1.8899043736   -2.6814231945
   7506   -6.2079331754    1.8899047709   -2.6814240339   -6.2079322025    1.8899043781   -2.6814233372
   7507   -6.2079332844    1.8899047753   -2.6814241584   -6.2079323117    1.8899043825   -2.6814234799
   7508   -6.2079333933    1.8899047796   -2.6814243206   -6.2079324209    1.8899043870   -2.6814236226
   7509   -6.2079335021    1.8899047840   -2.6814245001   -6.2079325300    1.8899043915   -2.6814237653
   7510   -6.2079336110    1.8899047884   -2.6814245640   -6.2079326391    1.8899043960   -2.6814239079
   7511   -6.2079337198    1.8899047928   -2.6814247271   -6.2079327482    1.8899044005   -2.6814240504
   7512   -6.2079338286    1.8899047971   -2.6814248871   -6.2079328572    1.8899044050   -2.6814241930
   7513   -6.2079339373    1.8899048015   -2.6814250544   -6.2079329662    1.8899044094   -2.6814243355
   7514   -6.2079340460    1.8899048059   -2.6814251675   -6.2079330752    1.8899044139   -2.6814244779
   7515   -6.2079341547    1.8899048103   -2.6814253596   -6.2079331842    1.8899044184   -2.6814246203
   7516   -6.2079342634    1.8899048147   -2.6814254669   -6.2079332931    1.8899044229   -2.6814247627
   7517   -6.2079343720    1.8899048190   -2.6814255612   -6.2079334020    1.8899044273   -2.6814249050
   7518   -6.2079344807    1.8899048234   -2.6814257344   -6.2079335108    1.8899044318   -2.6814250473
   7519   -6.2079345892    1.8899048278   -2.6814258742   -6.2079336197    1.8899044363   -2.6814251896
   7520   -6.2079346978    1.8899048321   -2.6814260215   -6.2079337285    1.8899044408   -2.6814253318
   7521   -6.2079348063    1.8899048365   -2.6814261354   -6.2079338373    1.8899044452   -2.6814254740
   7522   -6.2079349148    1.8899048408   -2.6814263182   -6.2079339460    1.8899044497   -2.6814256162
   7523   -6.2079350233    1.8899048452   -2.6814264575   -6.2079340547    1.8899044542   -2.6814257583
   7524   -6.2079351317    1.8899048496   -2.6814265942   -6.2079341634    1.8899044586   -2.6814259003
   7525   -6.2079352401    1.8899048539   -2.6814267283   -6.2079342721    1.8899044631   -2.6814260424
   7526   -6.2079353485    1.8899048583   -2.6814268497   -6.2079343807    1.8899044676   -2.6814261844
   7527   -6.2079354568    1.8899048627   -2.6814270300   -6.2079344893    1.8899044720   -2.6814263263
   7528   -6.2079355651    1.8899048670   -2.6814271464   -6.2079345979    1.8899044765   -2.6814264683
   7529   -6.2079356734    1.8899048714   -2.6814273117   -6.2079347065    1.8899044809   -2.6814266101
   7530   -6.2079357817    1.8899048757   -2.6814275053   -6.2079348150    1.8899044854   -2.6814267520
   7531   -6.2079358899    1.8899048801   -2.6814275942   -6.2079349235    1.8899044899   -2.6814268938
   7532   -6.2079359981    1.8899048844   -2.6814277217   -6.2079350319    1.8899044943   -2.6814270356
   7533   -6.2079361063    1.8899048888   -2.6814278367   -6.2079351404    1.8899044988   -2.6814271773
   7534   -6.2079362145    1.8899048931   -2.6814279802   -6.2079352488    1.8899045032   -2.6814273190
   7535   -6.2079363226    1.8899048975   -2.6814281729   -6.2079353571    1.8899045077   -2.6814274607
   7536   -6.2079364307    1.8899049018   -2.6814283121   -6.2079354655    1.8899045121   -2.6814276023
   7537   -6.2079365387    1.8899049062   -2.6814284595   -6.2079355738    1.8899045166   -2.6814277439
   7538   -6.2079366468    1.8899049105   -2.6814285843   -6.2079356821    1.8899045210   -2.6814278854
   7539   -6.2079367548    1.8899049149   -2.6814287480   -6.2079357904    1.8899045255   -2.6814280269
   7540   -6.2079368627    1.8899049192   -2.6814288380   -6.2079358986    1.8899045299   -2.6814281684
   7541   -6.2079369707    1.8899049235   -2.6814289773   -6.2079360068    1.8899045344   -2.6814283098
   7542   -6.2079370786    1.8899049279   -2.6814291352   -6.2079361150    1.8899045388   -2.6814284512
   7543   -6.2079371865    1.8899049323   -2.6814292810   -6.2079362231    1.8899045433   -2.6814285926
   7544   -6.2079372944    1.8899049366   -2.6814294249   -6.2079363312    1.8899045477   -2.6814287339
   7545   -6.2079374022    1.8899049409   -2.6814295671   -6.2079364393    1.8899045522   -2.6814288752
   7546   -6.2079375100    1.8899049452   -2.6814296869   -6.2079365474    1.8899045566   -2.6814290164
   7547   -6.2079376178    1.8899049496   -2.6814298358   -6.2079366554    1.8899045610   -2.6814291576
   7548   -6.2079377255    1.8899049539   -2.6814299727   -6.2079367634    1.8899045655   -2.6814292988
   7549   -6.2079378332    1.8899049583   -2.6814301387   -6.2079368714    1.8899045699   -2.6814294399
   7550   -6.2079379409    1.8899049626   -2.6814302724   -6.2079369793    1.8899045743   -2.6814295810
   7551   -6.2079380486    1.8899049669   -2.6814303736   -6.2079370873    1.8899045788   -2.6814297221
   7552   -6.2079381562    1.8899049712   -2.6814305657   -6.2079371951    1.8899045832   -2.6814298631
   7553   -6.2079382638    1.8899049756   -2.6814306947   -6.2079373030    1.8899045876   -2.6814300041
   7554   -6.2079383714    1.8899049799   -2.6814308428   -6.2079374108    1.8899045921   -2.6814301450
   7555   -6.2079384790    1.8899049842   -2.6814309483   -6.2079375186    1.8899045965   -2.6814302860
   7556   -6.2079385865    1.8899049886   -2.6814311038   -6.2079376264    1.8899046009   -2.6814304268
   7557   -6.2079386940    1.8899049929   -2.6814312785   -6.2079377342    1.8899046054   -2.6814305677
   7558   -6.2079388014    1.8899049972   -2.6814314005   -6.2079378419    1.8899046098   -2.6814307085
   7559   -6.2079389089    1.8899050016   -2.6814315314   -6.2079379496    1.8899046142   -2.6814308492
   7560   -6.2079390163    1.8899050059   -2.6814316817   -6.2079380572    1.8899046186   -2.6814309899
   7561   -6.2079391236    1.8899050102   -2.6814318205   -6.2079381648    1.8899046231   -2.6814311306
   7562   -6.2079392310    1.8899050145   -2.6814319993   -6.2079382725    1.8899046275   -2.6814312713
   7563   -6.2079393383    1.8899050188   -2.6814321357   -6.2079383800    1.8899046319   -2.6814314119
   7564   -6.2079394456    1.8899050231   -2.6814322196   -6.2079384876    1.8899046363   -2.6814315525
   7565   -6.2079395529    1.8899050274   -2.6814323848   -6.2079385951    1.8899046407   -2.6814316930
   7566   -6.2079396601    1.8899050318   -2.6814324769   -6.2079387026    1.8899046452   -2.6814318335
   7567   -6.2079397673    1.8899050361   -2.6814327121   -6.2079388100    1.8899046496   -2.6814319740
   7568   -6.2079398745    1.8899050404   -2.6814328125   -6.2079389175    1.8899046540   -2.6814321144
   7569   -6.2079399816    1.8899050447   -2.6814329223   -6.2079390249    1.8899046584   -2.6814322548
   7570   -6.2079400888    1.8899050490   -2.6814331136   -6.2079391323    1.8899046628   -2.6814323951
   7571   -6.2079401959    1.8899050533   -2.6814332320   -6.2079392396    1.8899046672   -2.6814325354
   7572   -6.2079403029    1.8899050576   -2.6814333289   -6.2079393469    1.8899046716   -2.6814326757
   7573   -6.2079404100    1.8899050619   -2.6814334869   -6.2079394542    1.8899046760   -2.6814328160
   7574   -6.2079405170    1.8899050663   -2.6814336442   -6.2079395615    1.8899046804   -2.6814329562
   7575   -6.2079406240    1.8899050705   -2.6814337698   -6.2079396687    1.8899046849   -2.6814330963
   7576   -6.2079407309    1.8899050748   -2.6814339154   -6.2079397759    1.8899046893   -2.6814332365
   7577   -6.2079408378    1.8899050792   -2.6814340707   -6.2079398831    1.8899046937   -2.6814333766
   7578   -6.2079409447    1.8899050834   -2.6814342151   -6.2079399902    1.8899046981   -2.6814335166
   7579   -6.2079410516    1.8899050878   -2.6814343280   -6.2079400974    1.8899047025   -2.6814336566
   7580   -6.2079411585    1.8899050921   -2.6814345022   -6.2079402045    1.8899047069   -2.6814337966
   7581   -6.2079412653    1.8899050964   -2.6814346554   -6.2079403115    1.8899047113   -2.6814339366
   7582   -6.2079413720    1.8899051006   -2.6814347875   -6.2079404186    1.8899047157   -2.6814340765
   7583   -6.2079414788    1.8899051049   -2.6814348779   -6.2079405256    1.8899047201   -2.6814342163
   7584   -6.2079415855    1.8899051092   -2.6814350712   -6.2079406325    1.8899047245   -2.6814343562
   7585   -6.2079416922    1.8899051135   -2.6814351815   -6.2079407395    1.8899047289   -2.6814344960
   7586   -6.2079417989    1.8899051178   -2.6814353329   -6.2079408464    1.8899047332   -2.6814346357
   7587   -6.2079419056    1.8899051221   -2.6814354633   -6.2079409533    1.8899047376   -2.6814347754
   7588   -6.2079420122    1.8899051264   -2.6814356039   -6.2079410602    1.8899047420   -2.6814349151
   7589   -6.2079421187    1.8899051307   -2.6814357339   -6.2079411670    1.8899047464   -2.6814350548
   7590   -6.2079422253    1.8899051350   -2.6814358742   -6.2079412738    1.8899047508   -2.6814351944
   7591   -6.2079423318    1.8899051393   -2.6814359936   -6.2079413806    1.8899047552   -2.6814353340
   7592   -6.2079424383    1.8899051435   -2.6814361440   -6.2079414874    1.8899047596   -2.6814354735
   7593   -6.2079425448    1.8899051478   -2.6814363357   -6.2079415941    1.8899047640   -2.6814356130
   7594   -6.2079426513    1.8899051521   -2.6814363931   -6.2079417008    1.8899047684   -2.6814357525
   7595   -6.2079427577    1.8899051564   -2.6814365641   -6.2079418075    1.8899047727   -2.6814358919
   7596   -6.2079428641    1.8899051607   -2.6814367456   -6.2079419141    1.8899047771   -2.6814360313
   7597   -6.2079429705    1.8899051650   -2.6814368238   -6.2079420207    1.8899047815   -2.6814361707
   7598   -6.2079430768    1.8899051692   -2.6814370159   -6.2079421273    1.8899047859   -2.6814363100
   7599   -6.2079431831    1.8899051735   -2.6814371151   -6.2079422339    1.8899047903   -2.6814364493
   7600   -6.2079432894    1.8899051778   -2.6814372559   -6.2079423404    1.8899047946   -2.6814365885
   7601   -6.2079433956    1.8899051821   -2.6814374280   -6.2079424469    1.8899047990   -2.6814367277
   7602   -6.2079435019    1.8899051863   -2.6814375280   -6.2079425534    1.8899048034   -2.6814368669
   7603   -6.2079436080    1.8899051906   -2.6814376801   -6.2079426598    1.8899048078   -2.6814370060
   7604   -6.2079437142    1.8899051949   -2.6814378532   -6.2079427662    1.8899048121   -2.6814371451
   7605   -6.2079438204    1.8899051992   -2.6814379439   -6.2079428726    1.8899048165   -2.6814372842
   7606   -6.2079439265    1.8899052034   -2.6814380765   -6.2079429790    1.8899048209   -2.6814374232
   7607   -6.2079440325    1.8899052077   -2.6814382613   -6.2079430853    1.8899048252   -2.6814375622
   7608   -6.2079441386    1.8899052120   -2.6814383948   -6.2079431916    1.8899048296   -2.6814377012
   7609   -6.2079442446    1.8899052162   -2.6814385496   -6.2079432979    1.8899048340   -2.6814378401
   7610   -6.2079443506    1.8899052205   -2.6814386429   -6.2079434041    1.8899048383   -2.6814379790
   7611   -6.2079444566    1.8899052248   -2.6814387990   -6.2079435104    1.8899048427   -2.6814381178
   7612   -6.2079445626    1.8899052290   -2.6814389039   -6.2079436166    1.8899048471   -2.6814382566
   7613   -6.2079446685    1.8899052333   -2.6814391131   -6.2079437227    1.8899048514   -2.6814383954
   7614   -6.2079447744    1.8899052376   -2.6814392194   -6.2079438289    1.8899048558   -2.6814385341
   7615   -6.2079448802    1.8899052418   -2.6814393887   -6.2079439350    1.8899048602   -2.6814386728
   7616   -6.2079449860    1.8899052461   -2.6814394862   -6.2079440411    1.8899048645   -2.6814388115
   7617   -6.2079450919    1.8899052503   -2.6814396261   -6.2079441471    1.8899048689   -2.6814389501
   7618   -6.2079451976    1.8899052546   -2.6814397461   -6.2079442531    1.8899048732   -2.6814390887
   7619   -6.2079453034    1.8899052588   -2.6814398877   -6.2079443591    1.8899048776   -2.6814392272
   7620   -6.2079454091    1.8899052631   -2.6814400511   -6.2079444651    1.8899048819   -2.6814393657
   7621   -6.2079455148    1.8899052673   -2.6814401635   -6.2079445710    1.8899048863   -2.6814395042
   7622   -6.2079456205    1.8899052716   -2.6814403081   -6.2079446770    1.8899048906   -2.6814396427
   7623   -6.2079457261    1.8899052758   -2.6814404849   -6.2079447829    1.8899048950   -2.6814397811
   7624   -6.2079458317    1.8899052801   -2.6814406214   -6.2079448887    1.8899048994   -2.6814399194
   7625   -6.2079459373    1.8899052843   -2.6814407070   -6.2079449945    1.8899049037   -2.6814400578
   7626   -6.2079460429    1.8899052886   -2.6814409391   -6.2079451003    1.8899049080   -2.6814401961
   7627   -6.2079461484    1.8899052928   -2.6814410376   -6.2079452061    1.8899049124   -2.6814403343
   7628   -6.2079462539    1.8899052971   -2.6814411580   -6.2079453119    1.8899049167   -2.6814404726
   7629   -6.2079463594    1.8899053013   -2.6814413004   -6.2079454176    1.8899049211   -2.6814406108
   7630   -6.2079464648    1.8899053056   -2.6814414338   -6.2079455233    1.8899049254   -2.6814407489
   7631   -6.2079465702    1.8899053098   -2.6814415686   -6.2079456290    1.8899049298   -2.6814408870
   7632   -6.2079466756    1.8899053141   -2.6814417255   -6.2079457346    1.8899049341   -2.6814410251
   7633   -6.2079467810    1.8899053183   -2.6814418215   -6.2079458402    1.8899049384   -2.6814411631
   7634   -6.2079468863    1.8899053226   -2.6814419813   -6.2079459458    1.8899049428   -2.6814413012
   7635   -6.2079469916    1.8899053268   -2.6814421219   -6.2079460513    1.8899049471   -2.6814414391
   7636   -6.2079470969    1.8899053310   -2.6814422639   -6.2079461569    1.8899049515   -2.6814415771
   7637   -6.2079472022    1.8899053353   -2.6814423764   -6.2079462624    1.8899049558   -2.6814417150
   7638   -6.2079473074    1.8899053395   -2.6814425217   -6.2079463678    1.8899049601   -2.6814418528
   7639   -6.2079474126    1.8899053437   -2.6814426582   -6.2079464733    1.8899049645   -2.6814419907
   7640   -6.2079475178    1.8899053479   -2.6814427652   -6.2079465787    1.8899049688   -2.6814421284
   7641   -6.2079476229    1.8899053522   -2.6814429571   -6.2079466841    1.8899049731   -2.6814422662
   7642   -6.2079477280    1.8899053564   -2.6814430779   -6.2079467895    1.8899049775   -2.6814424039
   7643   -6.2079478331    1.8899053606   -2.6814432110   -6.2079468948    1.8899049818   -2.6814425416
   7644   -6.2079479382    1.8899053649   -2.6814433771   -6.2079470001    1.8899049861   -2.6814426793
   7645   -6.2079480432    1.8899053691   -2.6814434618   -6.2079471054    1.8899049904   -2.6814428169
   7646   -6.2079481482    1.8899053733   -2.6814436108   -6.2079472106    1.8899049948   -2.6814429544
   7647   -6.2079482532    1.8899053775   -2.6814437722   -6.2079473158    1.8899049991   -2.6814430920
   7648   -6.2079483581    1.8899053818   -2.6814439668   -6.2079474210    1.8899050034   -2.6814432295
   7649   -6.2079484631    1.8899053860   -2.6814440594   -6.2079475262    1.8899050077   -2.6814433669
   7650   -6.2079485680    1.8899053902   -2.6814441643   -6.2079476314    1.8899050121   -2.6814435044
   7651   -6.2079486728    1.8899053944   -2.6814443442   -6.2079477365    1.8899050164   -2.6814436418
   7652   -6.2079487777    1.8899053987   -2.6814444742   -6.2079478416    1.8899050207   -2.6814437791
   7653   -6.2079488825    1.8899054029   -2.6814446064   -6.2079479466    1.8899050250   -2.6814439165
   7654   -6.2079489873    1.8899054071   -2.6814447095   -6.2079480516    1.8899050293   -2.6814440537
   7655   -6.2079490920    1.8899054113   -2.6814448564   -6.2079481567    1.8899050336   -2.6814441910
   7656   -6.2079491968    1.8899054155   -2.6814450056   -6.2079482616    1.8899050379   -2.6814443282
   7657   -6.2079493015    1.8899054197   -2.6814451259   -6.2079483666    1.8899050423   -2.6814444654
   7658   -6.2079494062    1.8899054240   -2.6814452589   -6.2079484715    1.8899050466   -2.6814446025
   7659   -6.2079495108    1.8899054282   -2.6814454256   -6.2079485764    1.8899050509   -2.6814447396
   7660   -6.2079496154    1.8899054324   -2.6814454800   -6.2079486813    1.8899050552   -2.6814448767
   7661   -6.2079497200    1.8899054366   -2.6814457141   -6.2079487861    1.8899050595   -2.6814450138
   7662   -6.2079498246    1.8899054408   -2.6814458047   -6.2079488909    1.8899050638   -2.6814451508
   7663   -6.2079499291    1.8899054450   -2.6814459395   -6.2079489957    1.8899050681   -2.6814452877
   7664   -6.2079500337    1.8899054492   -2.6814461081   -6.2079491005    1.8899050724   -2.6814454247
   7665   -6.2079501381    1.8899054534   -2.6814462585   -6.2079492052    1.8899050767   -2.6814455615
   7666   -6.2079502426    1.8899054576   -2.6814463698   -6.2079493099    1.8899050810   -2.6814456984
   7667   -6.2079503470    1.8899054618   -2.6814464733   -6.2079494146    1.8899050853   -2.6814458352
   7668   -6.2079504514    1.8899054660   -2.6814466212   -6.2079495192    1.8899050896   -2.6814459720
   7669   -6.2079505558    1.8899054702   -2.6814467927   -6.2079496238    1.8899050939   -2.6814461088
   7670   -6.2079506602    1.8899054744   -2.6814469044   -6.2079497284    1.8899050982   -2.6814462455
   7671   -6.2079507645    1.8899054786   -2.6814470397   -6.2079498330    1.8899051025   -2.6814463822
   7672   -6.2079508688    1.8899054828   -2.6814472197   -6.2079499375    1.8899051068   -2.6814465188
   7673   -6.2079509731    1.8899054870   -2.6814472981   -6.2079500420    1.8899051111   -2.6814466554
   7674   -6.2079510773    1.8899054912   -2.6814474734   -6.2079501465    1.8899051154   -2.6814467920
   7675   -6.2079511815    1.8899054954   -2.6814476099   -6.2079502510    1.8899051197   -2.6814469285
   7676   -6.2079512857    1.8899054996   -2.6814477180   -6.2079503554    1.8899051240   -2.6814470650
   7677   -6.2079513899    1.8899055038   -2.6814478500   -6.2079504598    1.8899051283   -2.6814472015
   7678   -6.2079514940    1.8899055080   -2.6814480374   -6.2079505642    1.8899051326   -2.6814473379
   7679   -6.2079515981    1.8899055122   -2.6814481338   -6.2079506685    1.8899051369   -2.6814474743
   7680   -6.2079517022    1.8899055164   -2.6814482751   -6.2079507729    1.8899051411   -2.6814476107
