------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    142   -3.1771385062    0.9036325546   -1.4372160166   -6.1654255101    1.8881577043   -2.6258624827
    143   -3.1820714193    0.9036379621   -1.4375259709   -6.1657284915    1.8881701543   -2.6262585123
    144   -3.1870025328    0.9036387088   -1.4378463745   -6.1660272649    1.8881824314   -2.6266490415
    145   -3.1919319502    0.9036350709   -1.4381772696   -6.1663219173    1.8881945392   -2.6270341841
    146   -3.1968597823    0.9036273219   -1.4385187368   -6.1666125333    1.8882064811   -2.6274140507
    147   -3.2017861248    0.9036157383   -1.4388708055   -6.1668991954    1.8882182606   -2.6277887491
    148   -3.2067110605    0.9036005762   -1.4392335230   -6.1671819837    1.8882298808   -2.6281583841
    149   -3.2116346802    0.9035820866   -1.4396069290   -6.1674609761    1.8882413451   -2.6285230574
    150   -3.2165570685    0.9035605213   -1.4399910552   -6.1677362487    1.8882526566   -2.6288828685
    151   -3.2214782776    0.9035361418   -1.4403859113   -6.1680078752    1.8882638182   -2.6292379138
    152   -3.2263984137    0.9035091576   -1.4407915608   -6.1682759278    1.8882748329   -2.6295882876
    153   -3.2313174951    0.9034797981   -1.4412079838   -6.1685404763    1.8882857037   -2.6299340812
    154   -3.2362356347    0.9034483180   -1.4416352384   -6.1688015892    1.8882964332   -2.6302753840
    155   -3.2411528378    0.9034149101   -1.4420732918   -6.1690593329    1.8883070244   -2.6306122830
    156   -3.2460691956    0.9033797843   -1.4425221805   -6.1693137721    1.8883174797   -2.6309448627
    157   -3.2509847236    0.9033431630   -1.4429818911   -6.1695649701    1.8883278019   -2.6312732057
    158   -3.2558994689    0.9033052913   -1.4434524292   -6.1698129884    1.8883379934   -2.6315973925
    159   -3.2608135448    0.9032662255   -1.4439338262   -6.1700578870    1.8883480567   -2.6319175014
